2012-09-18/01:30:56  2012-09-18/01:44:54
2012-09-18/02:00:56  2012-09-18/02:14:55
2012-09-18/02:30:56  2012-09-18/02:44:55
2012-09-18/03:00:56  2012-09-18/03:14:55
2012-09-18/03:30:56  2012-09-18/03:44:55
2012-10-24/02:00:56  2012-10-24/02:14:55
2012-10-24/02:30:56  2012-10-24/02:44:54
2012-10-24/03:00:56  2012-10-24/03:14:55
2012-10-24/20:00:56  2012-10-24/20:14:55
2012-10-24/20:30:56  2012-10-24/20:44:55
2012-10-24/21:00:56  2012-10-24/21:14:55
2012-11-07/09:00:11  2012-11-07/09:22:47
2012-11-07/10:00:09  2012-11-07/10:22:45
2012-11-21/07:00:02  2012-11-21/07:22:37
2012-11-21/07:30:06  2012-11-21/07:52:41
2012-11-21/08:00:10  2012-11-21/08:22:45
2012-11-28/01:30:02  2012-11-28/01:52:38
2012-11-28/02:00:06  2012-11-28/02:22:42
2012-11-28/02:30:10  2012-11-28/02:52:46
2012-12-06/08:00:05  2012-12-06/08:22:41
2012-12-06/08:30:09  2012-12-06/08:52:45
2012-12-06/09:00:02  2012-12-06/09:22:38
2012-12-12/09:00:09  2012-12-12/09:22:44
2012-12-12/09:30:01  2012-12-12/09:52:37
2012-12-12/10:00:05  2012-12-12/10:22:41
2012-12-19/03:00:07  2012-12-19/03:22:43
2012-12-19/03:30:01  2012-12-19/03:52:37
2012-12-19/04:00:05  2012-12-19/04:22:41
2013-02-06/09:30:01  2013-02-06/09:52:37
2013-02-06/10:00:05  2013-02-06/10:22:41
2013-02-06/10:30:09  2013-02-06/10:52:45
2013-02-13/13:30:11  2013-02-13/13:52:46
2013-02-13/14:00:04  2013-02-13/14:22:40
2013-02-13/14:30:08  2013-02-13/14:52:44
2013-02-20/08:00:08  2013-02-20/08:22:44
2013-02-20/08:30:02  2013-02-20/08:52:38
2013-02-20/09:00:06  2013-02-20/09:22:42
2013-02-27/02:30:09  2013-02-27/02:52:44
2013-02-27/03:00:02  2013-02-27/03:22:37
2013-02-27/03:30:05  2013-02-27/03:52:41
2013-03-27/06:40:01  2013-03-27/07:02:33
2013-03-27/07:10:10  2013-03-27/07:32:39
2013-03-27/07:40:05  2013-03-27/08:02:33
2013-03-27/15:43:10  2013-03-27/16:05:41
2013-03-27/16:13:08  2013-03-27/16:35:37
2013-03-27/16:43:03  2013-03-27/17:05:31
2013-04-17/00:00:21  2013-04-17/00:22:44
2013-04-17/00:30:11  2013-04-17/00:52:45
2013-04-17/01:00:12  2013-04-17/01:22:46
2013-05-08/01:30:02  2013-05-08/01:52:35
2013-05-08/02:00:02  2013-05-08/02:22:36
2013-05-08/02:30:03  2013-05-08/02:52:37
2013-06-05/06:30:06  2013-06-05/06:52:39
2013-06-05/07:00:05  2013-06-05/07:22:40
2013-06-05/07:30:08  2013-06-05/07:52:41
2013-07-03/02:45:04  2013-07-03/03:07:36
2013-07-03/03:15:03  2013-07-03/03:37:36
2013-07-03/03:45:03  2013-07-03/04:07:35
2013-07-17/00:45:08  2013-07-17/01:07:41
2013-07-17/01:15:08  2013-07-17/01:37:41
2013-07-17/01:45:08  2013-07-17/02:07:41
2013-07-31/05:00:06  2013-07-31/05:22:38
2013-07-31/05:30:06  2013-07-31/05:52:38
2013-07-31/06:00:05  2013-07-31/06:22:37
2013-08-07/02:15:04  2013-08-07/02:37:36
2013-08-07/02:45:03  2013-08-07/03:07:36
2013-08-07/03:15:03  2013-08-07/03:37:35
2013-09-11/01:45:06  2013-09-11/02:07:38
2013-09-11/02:15:05  2013-09-11/02:37:37
2013-09-11/02:45:04  2013-09-11/03:07:36
2013-10-30/00:00:14  2013-10-30/00:07:41
2013-10-30/00:15:07  2013-10-30/00:37:37
2013-11-27/04:30:11  2013-11-27/04:52:41
2013-11-27/05:00:07  2013-11-27/05:22:36
2013-11-27/05:30:03  2013-11-27/05:52:32
2014-05-30/03:30:10  2014-05-30/03:52:36
2014-05-30/04:00:01  2014-05-30/04:22:26
2014-06-18/07:00:06  2014-06-18/07:28:51
2014-06-18/07:45:08  2014-06-18/08:13:53
2014-06-18/08:30:10  2014-06-18/08:58:55
2014-09-03/00:45:10  2014-09-03/01:13:54
2014-09-03/01:30:10  2014-09-03/01:58:54
2014-09-03/02:15:10  2014-09-03/02:43:54
2014-09-18/02:15:04  2014-09-18/02:37:29
2014-09-18/02:45:05  2014-09-18/03:07:30
2014-09-18/03:15:05  2014-09-18/03:37:31
2014-12-03/01:30:05  2014-12-03/01:58:47
2014-12-03/02:15:01  2014-12-03/02:43:42
2014-12-16/23:30:06  2014-12-16/23:52:27
2014-12-17/00:15:11  2014-12-17/00:37:33
2014-12-17/01:00:05  2014-12-17/01:22:27
2015-01-10/02:03:11  2015-01-10/02:25:32
2015-01-10/02:48:01  2015-01-10/03:10:26
2015-01-10/03:33:09  2015-01-10/03:55:30
2015-07-22/00:45:08  2015-07-22/01:07:25
2015-07-22/01:15:09  2015-07-22/01:37:26
2015-07-22/01:45:10  2015-07-22/02:07:27
2015-10-14/07:30:08  2015-10-14/07:52:45
2015-10-14/08:00:02  2015-10-14/08:22:40
2015-10-14/08:30:08  2015-10-14/08:52:45
2015-11-14/05:30:09  2015-11-14/05:59:07
2015-11-14/06:15:10  2015-11-14/06:44:09
2015-11-14/07:00:11  2015-11-14/07:29:10
2015-11-27/01:14:32  2015-11-27/01:47:10
2015-11-27/01:59:33  2015-11-27/02:32:11
2015-11-27/02:44:34  2015-11-27/03:17:12
2015-11-27/10:44:30  2015-11-27/11:00:44
2015-11-27/11:14:35  2015-11-27/11:30:48
2015-11-27/11:44:29  2015-11-27/12:00:42
2015-12-11/00:00:13  2015-12-11/00:41:57
2015-12-11/00:54:32  2015-12-11/01:36:59
2015-12-11/01:49:34  2015-12-11/02:32:01
2015-12-24/05:09:36  2015-12-24/05:30:45
2015-12-24/06:04:39  2015-12-24/06:25:47
2015-12-24/06:59:29  2015-12-24/07:20:37
2016-05-04/06:30:10  2016-05-04/06:59:04
2016-05-04/07:15:04  2016-05-04/07:43:58
2016-05-04/08:00:09  2016-05-04/08:29:03
2016-05-18/03:59:34  2016-05-18/04:20:38
2016-05-18/04:54:25  2016-05-18/05:15:29
